year,region,substance,study,mean,sd,citation
2019,China,HCFC-142b,"Sun et al., 2024",7.8,1.6,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2020,China,HCFC-142b,"Sun et al., 2024",7.4,1.7,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2021,China,HCFC-142b,"Sun et al., 2024",7.9,1.7,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2022,China,HCFC-142b,"Chen et al., 2025",8.8,0.8,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2022,Northern China,HCFC-142b,"Chen et al., 2025",3.5,0.3,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2011,China,HFC-134a,"Yao et al., 2019",19.48,2.53,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-134a,"Yao et al., 2019",15.49,5.81,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-134a,"Yao et al., 2019",23.65,8.91,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-134a,"Yao et al., 2019",27.23,6.07,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-134a,"Yao et al., 2019",32.41,8.14,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-134a,"Yao et al., 2019",29.76,5.95,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-134a,"Yao et al., 2019",24.52,2.68,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2018,China,HFC-134a,"Ma et al., 2025",30.53,4.79,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2019,China,HFC-134a,"Ma et al., 2025",28.41,4.83,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2020,China,HFC-134a,"Ma et al., 2025",33.07,7.49,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2022,China,HFC-134a,"Hu et al., 2025",42.63158,5.26316,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-134a,"Hu et al., 2025",16.2,2,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-134a,"Fang et al., 2026",19,2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-134a,"Fang et al., 2026",15,5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-134a,"Fang et al., 2026",24,9,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-134a,"Fang et al., 2026",27,6,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-134a,"Fang et al., 2026",32,8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-134a,"Fang et al., 2026",30,6,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-134a,"Fang et al., 2026",25,3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-134a,"Fang et al., 2026",30.5,4.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-134a,"Fang et al., 2026",28.4,4.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-134a,"Fang et al., 2026",33.1,7.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-134a,"Fang et al., 2026",37.3,9.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-32,"Yao et al., 2019",4.429,0.605,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-32,"Yao et al., 2019",4.742,1.226,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-32,"Yao et al., 2019",8.039,1.948,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-32,"Yao et al., 2019",7.257,1.387,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-32,"Yao et al., 2019",7.292,1.238,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-32,"Yao et al., 2019",10.117,1.456,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-32,"Yao et al., 2019",11.265,0.775,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-32,"Fang et al., 2026",4.4,0.6,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-32,"Fang et al., 2026",4.7,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-32,"Fang et al., 2026",8,1.9,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-32,"Fang et al., 2026",7.3,1.4,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-32,"Fang et al., 2026",7.3,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-32,"Fang et al., 2026",10.1,1.4,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-32,"Fang et al., 2026",11.3,0.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-32,"Fang et al., 2026",20.8,1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-32,"Fang et al., 2026",16.1,0.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-32,"Fang et al., 2026",19.1,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-32,"Fang et al., 2026",25.7,1.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-125,"Yao et al., 2019",4.676,1.188,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-125,"Yao et al., 2019",5.992,2.177,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-125,"Yao et al., 2019",9.848,2.791,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-125,"Yao et al., 2019",9.002,1.926,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-125,"Yao et al., 2019",11.308,3.353,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-125,"Yao et al., 2019",11.157,2.172,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-125,"Yao et al., 2019",10.781,1.118,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2022,China,HFC-125,"Hu et al., 2025",28.68421,3.42105,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-125,"Hu et al., 2025",10.9,1.3,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-125,"Fang et al., 2026",4.7,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-125,"Fang et al., 2026",6,2.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-125,"Fang et al., 2026",9.8,2.7,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-125,"Fang et al., 2026",9,1.9,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-125,"Fang et al., 2026",11.3,3.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-125,"Fang et al., 2026",11.2,2.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-125,"Fang et al., 2026",10.8,1.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-125,"Fang et al., 2026",14.8,1.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-125,"Fang et al., 2026",14.3,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-125,"Fang et al., 2026",10.6,1.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-125,"Fang et al., 2026",20.9,1.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-143a,"Yao et al., 2019",2.086,0.743,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-143a,"Yao et al., 2019",2.246,1.028,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-143a,"Yao et al., 2019",2.695,0.9,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-143a,"Yao et al., 2019",2.527,0.813,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-143a,"Yao et al., 2019",3.885,1.424,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-143a,"Yao et al., 2019",3.182,0.906,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-143a,"Yao et al., 2019",3.099,0.472,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2022,China,HFC-143a,"Hu et al., 2025",5.78947,0.78947,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-143a,"Hu et al., 2025",2.2,0.3,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-143a,"Fang et al., 2026",2.1,0.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-143a,"Fang et al., 2026",2.2,1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-143a,"Fang et al., 2026",2.7,0.9,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-143a,"Fang et al., 2026",2.5,0.8,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-143a,"Fang et al., 2026",3.9,1.4,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-143a,"Fang et al., 2026",3.2,0.9,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-143a,"Fang et al., 2026",3.1,0.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-143a,"Fang et al., 2026",3.6,0.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-143a,"Fang et al., 2026",3.3,0.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-143a,"Fang et al., 2026",3.3,0.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-143a,"Fang et al., 2026",6.2,0.7,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-152a,"Yao et al., 2019",4.8,0.7,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-152a,"Yao et al., 2019",4.1,0.9,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-152a,"Yao et al., 2019",5,1.5,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-152a,"Yao et al., 2019",4.1,1.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-152a,"Yao et al., 2019",5.9,2.2,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-152a,"Yao et al., 2019",5,1.1,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-152a,"Yao et al., 2019",4.3,0.5,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2018,China,HFC-152a,"Du et al., 2024",9.439647834,1.738065427,"Du, Q., Li, B., Ma, M., Yao, B. & Fang, X. Estimate Gaps of Montreal Protocol-Regulated Potent Greenhouse Gas HFC-152a Emissions in China Have Been Explained. Environ. Sci. Technol. 58, 5750-5759 (2024)."
2019,China,HFC-152a,"Du et al., 2024",10.55176398,1.825148079,"Du, Q., Li, B., Ma, M., Yao, B. & Fang, X. Estimate Gaps of Montreal Protocol-Regulated Potent Greenhouse Gas HFC-152a Emissions in China Have Been Explained. Environ. Sci. Technol. 58, 5750-5759 (2024)."
2020,China,HFC-152a,"Du et al., 2024",9.688125669,1.539582682,"Du, Q., Li, B., Ma, M., Yao, B. & Fang, X. Estimate Gaps of Montreal Protocol-Regulated Potent Greenhouse Gas HFC-152a Emissions in China Have Been Explained. Environ. Sci. Technol. 58, 5750-5759 (2024)."
2011,China,HFC-152a,"Fang et al., 2026",4.8,0.7,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
